matchID,team1_ID,team2_ID,tournament,gk_saves_T1,gk_saves_T2,red_card_T1,red_card_T2,yellow_card_T1,yellow_card_T2,assists_T1,assists_T2,shots_T1,shots_T2,shots_on_target_T1,shots_on_target_T2,passes_T1,passes_T2,goals_T1,goals_T2,ball_possession_T1,ball_possession_T2,pass_acc_T1,pass_acc_T2,gk_acc_T1,gk_acc_T2,shot_acc_T1,shot_acc_T2,winner
1694440,9905,4418,European_Championship,8.0,3.0,0.0,0.0,6.0,4.0,1.0,0.0,10,18,3.0,7.0,486,628,1.0,0.0,0.4362657091561939,0.5637342908438061,0.8725314183123878,0.8820224719101124,1.0,0.75,0.3,0.3888888888888889,1
1694439,3148,4418,European_Championship,6.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,16,14,6.0,8.0,566,219,0.0,2.0,0.7210191082802547,0.2789808917197452,0.8788819875776398,0.8111111111111111,0.75,1.0,0.375,0.5714285714285714,0
1694438,9905,10682,European_Championship,4.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,17,9,5.0,3.0,332,435,2.0,0.0,0.43285528031290743,0.5671447196870926,0.8601036269430051,0.8770161290322581,1.0,0.6,0.29411764705882354,0.3333333333333333,1
1694437,4418,7839,European_Championship,4.0,3.0,0.0,0.0,1.0,1.0,5.0,2.0,15,12,8.0,5.0,579,331,5.0,2.0,0.6362637362637362,0.3637362637362637,0.9234449760765551,0.8733509234828496,0.6666666666666666,0.375,0.5333333333333333,0.4166666666666667,1
1694436,3148,3757,European_Championship,2.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,13,12,4.0,3.0,705,413,1.0,1.0,0.6305903398926654,0.3694096601073345,0.8823529411764706,0.8394308943089431,0.6666666666666666,0.75,0.3076923076923077,0.25,1
1694435,10682,5629,European_Championship,3.0,4.0,0.0,0.0,4.0,2.0,3.0,1.0,15,14,7.0,4.0,345,412,3.0,1.0,0.4557463672391017,0.5442536327608983,0.8846153846153846,0.8765957446808511,0.75,0.5714285714285714,0.4666666666666667,0.2857142857142857,1
1694434,13869,9905,European_Championship,5.0,4.0,0.0,0.0,3.0,2.0,1.0,1.0,13,19,5.0,5.0,539,471,1.0,1.0,0.5336633663366337,0.46633663366336636,0.8555555555555555,0.8351063829787234,0.8333333333333334,0.8,0.38461538461538464,0.2631578947368421,0
1694433,2413,7839,European_Championship,3.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,18,8,5.0,5.0,453,173,1.0,2.0,0.7236421725239617,0.2763578274760383,0.8813229571984436,0.7489177489177489,0.6,0.8,0.2777777777777778,0.625,0
1694432,3757,1598,European_Championship,5.0,5.0,0.0,0.0,3.0,4.0,1.0,0.0,11,13,7.0,5.0,287,462,2.0,0.0,0.38317757009345793,0.616822429906542,0.8223495702005731,0.8619402985074627,1.0,0.7142857142857143,0.6363636363636364,0.38461538461538464,1
1694431,10451,5629,European_Championship,10.0,6.0,0.0,0.0,4.0,3.0,0.0,4.0,16,26,5.0,14.0,402,341,0.0,4.0,0.5410497981157469,0.458950201884253,0.8701298701298701,0.8567839195979899,0.7142857142857143,1.0,0.3125,0.5384615384615384,0
