matchID,team1_ID,team2_ID,date,tournament,gk_saves_T2,red_card_T2,yellow_card_T2,assists_T2,shots_T2,shots_against_T2,shots_on_target_T2,passes_T2,goals_T2,goals_against_T2,ball_possession_T2,pass_acc_T2,gk_acc_T2,shot_acc_T2
1694440,9905,4418,2016-07-10 21:00:00-02:00,European_Championship,3.0,0.0,4.0,0.0,18,10,7.0,628,0.0,1.0,0.5637342908438061,0.8820224719101124,0.75,0.3888888888888889
1694439,3148,4418,2016-07-07 21:00:00-02:00,European_Championship,6.0,0.0,2.0,0.0,14,16,8.0,219,2.0,0.0,0.2789808917197452,0.8111111111111111,1.0,0.5714285714285714
1694438,9905,10682,2016-07-06 21:00:00-02:00,European_Championship,3.0,0.0,3.0,0.0,9,17,3.0,435,0.0,2.0,0.5671447196870926,0.8770161290322581,0.6,0.3333333333333333
1694437,4418,7839,2016-07-03 21:00:00-02:00,European_Championship,3.0,0.0,1.0,2.0,12,15,5.0,331,2.0,5.0,0.3637362637362637,0.8733509234828496,0.375,0.4166666666666667
1694436,3148,3757,2016-07-02 21:00:00-02:00,European_Championship,3.0,0.0,5.0,0.0,12,13,3.0,413,1.0,1.0,0.3694096601073345,0.8394308943089431,0.75,0.25
1694435,10682,5629,2016-07-01 21:00:00-02:00,European_Championship,4.0,0.0,2.0,1.0,14,15,4.0,412,1.0,3.0,0.5442536327608983,0.8765957446808511,0.5714285714285714,0.2857142857142857
1694434,13869,9905,2016-06-30 21:00:00-02:00,European_Championship,4.0,0.0,2.0,1.0,19,13,5.0,471,1.0,1.0,0.46633663366336636,0.8351063829787234,0.8,0.2631578947368421
1694433,2413,7839,2016-06-27 21:00:00-02:00,European_Championship,4.0,0.0,2.0,2.0,8,18,5.0,173,2.0,1.0,0.2763578274760383,0.7489177489177489,0.8,0.625
1694432,3757,1598,2016-06-27 18:00:00-02:00,European_Championship,5.0,0.0,4.0,0.0,13,11,5.0,462,0.0,2.0,0.616822429906542,0.8619402985074627,0.7142857142857143,0.38461538461538464
1694431,10451,5629,2016-06-26 21:00:00-02:00,European_Championship,6.0,0.0,3.0,4.0,26,16,14.0,341,4.0,0.0,0.458950201884253,0.8567839195979899,1.0,0.5384615384615384
1694430,3148,14496,2016-06-26 18:00:00-02:00,European_Championship,4.0,0.0,2.0,0.0,7,18,2.0,297,0.0,3.0,0.3754740834386852,0.853448275862069,0.5714285714285714,0.2857142857142857
1694429,4418,8274,2016-06-26 15:00:00-02:00,European_Championship,9.0,1.0,3.0,0.0,6,24,1.0,172,1.0,2.0,0.2765273311897106,0.7577092511013216,0.8181818181818182,0.16666666666666666
1694428,9598,9905,2016-06-25 21:00:00-02:00,European_Championship,0.0,0.0,1.0,0.0,4,15,2.0,368,1.0,0.0,0.3961248654467169,0.8123620309050773,0.0,0.5
1694427,10682,10962,2016-06-25 18:00:00-02:00,European_Championship,2.0,0.0,2.0,0.0,5,6,3.0,220,0.0,1.0,0.40892193308550184,0.8029197080291971,0.6666666666666666,0.6
1694426,6697,13869,2016-06-25 15:00:00-02:00,European_Championship,7.0,0.0,2.0,1.0,19,24,4.0,382,1.0,1.0,0.4282511210762332,0.8250539956803455,0.875,0.21052631578947367
1694419,7047,5629,2016-06-22 21:00:00-02:00,European_Championship,4.0,0.0,2.0,1.0,21,10,8.0,288,1.0,0.0,0.4906303236797274,0.7890410958904109,1.0,0.38095238095238093
1694418,3757,8274,2016-06-22 21:00:00-02:00,European_Championship,1.0,0.0,2.0,1.0,12,5,4.0,235,1.0,0.0,0.4635108481262327,0.8216783216783217,1.0,0.3333333333333333
