matchID,team1_ID,team2_ID,tournament,gk_saves_T1,gk_saves_T2,red_card_T1,red_card_T2,yellow_card_T1,yellow_card_T2,assists_T1,assists_T2,shots_T1,shots_T2,shots_on_target_T1,shots_on_target_T2,passes_T1,passes_T2,goals_T1,goals_T2,ball_possession_T1,ball_possession_T2,pass_acc_T1,pass_acc_T2,gk_acc_T1,gk_acc_T2,shot_acc_T1,shot_acc_T2,winner
2501056,3783,3767,France,2.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,11,7,6.0,2.0,161,694,0.0,0.0,0.18830409356725147,0.8116959064327486,0.7523364485981309,0.919205298013245,1.0,1.0,0.5454545454545454,0.2857142857142857,0
2501057,3804,3799,France,6.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,6,16,1.0,7.0,385,351,2.0,1.0,0.5230978260869565,0.47690217391304346,0.8442982456140351,0.841726618705036,0.8571428571428571,0.0,0.16666666666666666,0.4375,0
2501058,3766,3775,France,3.0,5.0,0.0,0.0,3.0,3.0,2.0,2.0,21,11,8.0,5.0,402,484,3.0,2.0,0.45372460496614,0.54627539503386,0.8854625550660793,0.9013035381750466,0.6,0.625,0.38095238095238093,0.45454545454545453,1
2501059,3771,3789,France,1.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,27,5,11.0,2.0,527,259,2.0,1.0,0.6704834605597965,0.32951653944020354,0.9023972602739726,0.7872340425531915,0.5,0.8181818181818182,0.4074074074074074,0.4,1
2501060,3777,3772,France,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,7,16,0.0,8.0,281,472,0.0,4.0,0.37317397078353254,0.6268260292164675,0.8313609467455622,0.8939393939393939,0.5,0.0,0.0,0.5,0
2501061,3770,3779,France,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8,10,3.0,2.0,317,407,1.0,0.0,0.43784530386740333,0.5621546961325967,0.8320209973753281,0.8255578093306288,1.0,0.6666666666666666,0.375,0.2,1
2501062,3774,3787,France,5.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,8,9,3.0,6.0,368,259,1.0,1.0,0.5869218500797448,0.4130781499202552,0.8363636363636363,0.7896341463414634,0.8333333333333334,0.6666666666666666,0.375,0.6666666666666666,0
2501063,3782,3776,France,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,12,10,7.0,3.0,492,441,5.0,0.0,0.5273311897106109,0.47266881028938906,0.8978102189781022,0.882,1.0,0.375,0.5833333333333334,0.3,1
2501064,3780,3785,France,5.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0,17,12,7.0,5.0,283,237,2.0,1.0,0.5442307692307692,0.45576923076923076,0.7905027932960894,0.75,0.8333333333333334,0.7142857142857143,0.4117647058823529,0.4166666666666667,1
2501065,3795,19830,France,10.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,13,21,5.0,12.0,295,434,0.0,3.0,0.4046639231824417,0.5953360768175583,0.8016304347826086,0.8460038986354775,0.7692307692307693,1.0,0.38461538461538464,0.5714285714285714,0
2501046,3789,3777,France,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,8,15,2.0,2.0,351,378,2.0,0.0,0.48148148148148145,0.5185185185185185,0.8278301886792453,0.8729792147806005,1.0,0.3333333333333333,0.25,0.13333333333333333,1
2501047,3799,3770,France,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,13,12,2.0,2.0,303,344,0.0,2.0,0.46831530139103555,0.5316846986089645,0.7890625,0.8249400479616307,0.0,1.0,0.15384615384615385,0.16666666666666666,0
2501048,3772,3780,France,3.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,13,10,6.0,5.0,354,222,4.0,2.0,0.6145833333333334,0.3854166666666667,0.8329411764705882,0.7350993377483444,0.6,0.42857142857142855,0.46153846153846156,0.5,1
