matchID,team1_ID,team2_ID,date,tournament,gk_saves_T2,red_card_T2,yellow_card_T2,assists_T2,shots_T2,shots_against_T2,shots_on_target_T2,passes_T2,goals_T2,goals_against_T2,ball_possession_T2,pass_acc_T2,gk_acc_T2,shot_acc_T2
2501058,3766,3775,"May 19, 2018 at 9:00:00 PM GMT+2",France,5.0,0.0,3.0,2.0,11,21,5.0,484,2.0,3.0,0.54627539503386,0.9013035381750466,0.625,0.45454545454545453
2501059,3771,3789,"May 19, 2018 at 9:00:00 PM GMT+2",France,9.0,1.0,0.0,1.0,5,27,2.0,259,1.0,2.0,0.32951653944020354,0.7872340425531915,0.8181818181818182,0.4
2501060,3777,3772,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.0,0.0,0.0,3.0,16,7,8.0,472,4.0,0.0,0.6268260292164675,0.8939393939393939,0.0,0.5
2501061,3770,3779,"May 19, 2018 at 9:00:00 PM GMT+2",France,2.0,0.0,0.0,0.0,10,8,2.0,407,0.0,1.0,0.5621546961325967,0.8255578093306288,0.6666666666666666,0.2
2501063,3782,3776,"May 19, 2018 at 9:00:00 PM GMT+2",France,3.0,0.0,0.0,0.0,10,12,3.0,441,0.0,5.0,0.47266881028938906,0.882,0.375,0.3
2501064,3780,3785,"May 19, 2018 at 9:00:00 PM GMT+2",France,5.0,0.0,2.0,0.0,12,17,5.0,237,1.0,2.0,0.45576923076923076,0.75,0.7142857142857143,0.4166666666666667
2501065,3795,19830,"May 19, 2018 at 9:00:00 PM GMT+2",France,5.0,0.0,1.0,0.0,21,13,12.0,434,3.0,0.0,0.5953360768175583,0.8460038986354775,1.0,0.5714285714285714
2501046,3789,3777,"May 12, 2018 at 9:00:00 PM GMT+2",France,1.0,0.0,2.0,0.0,15,8,2.0,378,0.0,2.0,0.5185185185185185,0.8729792147806005,0.3333333333333333,0.13333333333333333
2501048,3772,3780,"May 12, 2018 at 9:00:00 PM GMT+2",France,3.0,0.0,3.0,1.0,10,13,5.0,222,2.0,4.0,0.3854166666666667,0.7350993377483444,0.42857142857142855,0.5
2501050,3776,3804,"May 12, 2018 at 9:00:00 PM GMT+2",France,1.0,0.0,2.0,0.0,12,13,7.0,370,1.0,2.0,0.5068493150684932,0.835214446952596,0.3333333333333333,0.5833333333333334
2501051,19830,3782,"May 12, 2018 at 8:00:00 PM GMT+2",France,4.0,0.0,1.0,0.0,13,18,3.0,349,0.0,1.0,0.49644381223328593,0.8349282296650717,0.8,0.23076923076923078
