matchID,team1_ID,team2_ID,date,tournament,gk_saves_T1,red_card_T1,yellow_card_T1,assists_T1,shots_T1,shots_against_T1,shots_on_target_T1,passes_T1,goals_T1,goals_against_T1,ball_possession_T1,pass_acc_T1,gk_acc_T1,shot_acc_T1,winner
2501058,3766,3775,"May 19, 2018 at 9:00:00 PM GMT+2",France,3.0,0.0,3.0,2.0,21,11,8.0,402,3.0,2.0,0.45372460496614,0.8854625550660793,0.6,0.38095238095238093,1
2501059,3771,3789,"May 19, 2018 at 9:00:00 PM GMT+2",France,1.0,0.0,0.0,1.0,27,5,11.0,527,2.0,1.0,0.6704834605597965,0.9023972602739726,0.5,0.4074074074074074,1
2501060,3777,3772,"May 19, 2018 at 9:00:00 PM GMT+2",France,4.0,0.0,3.0,0.0,7,16,0.0,281,0.0,4.0,0.37317397078353254,0.8313609467455622,0.5,0.0,0
2501061,3770,3779,"May 19, 2018 at 9:00:00 PM GMT+2",France,2.0,0.0,0.0,1.0,8,10,3.0,317,1.0,0.0,0.43784530386740333,0.8320209973753281,1.0,0.375,1
2501063,3782,3776,"May 19, 2018 at 9:00:00 PM GMT+2",France,3.0,0.0,1.0,0.0,12,10,7.0,492,5.0,0.0,0.5273311897106109,0.8978102189781022,1.0,0.5833333333333334,1
2501064,3780,3785,"May 19, 2018 at 9:00:00 PM GMT+2",France,5.0,0.0,3.0,1.0,17,12,7.0,283,2.0,1.0,0.5442307692307692,0.7905027932960894,0.8333333333333334,0.4117647058823529,1
2501065,3795,19830,"May 19, 2018 at 9:00:00 PM GMT+2",France,10.0,0.0,1.0,0.0,13,21,5.0,295,0.0,3.0,0.4046639231824417,0.8016304347826086,0.7692307692307693,0.38461538461538464,0
2501046,3789,3777,"May 12, 2018 at 9:00:00 PM GMT+2",France,2.0,0.0,1.0,0.0,8,15,2.0,351,2.0,0.0,0.48148148148148145,0.8278301886792453,1.0,0.25,1
2501048,3772,3780,"May 12, 2018 at 9:00:00 PM GMT+2",France,3.0,0.0,1.0,3.0,13,10,6.0,354,4.0,2.0,0.6145833333333334,0.8329411764705882,0.6,0.46153846153846156,1
2501050,3776,3804,"May 12, 2018 at 9:00:00 PM GMT+2",France,6.0,0.0,0.0,2.0,13,12,3.0,360,2.0,1.0,0.4931506849315068,0.8530805687203792,0.8571428571428571,0.23076923076923078,1
2501051,19830,3782,"May 12, 2018 at 8:00:00 PM GMT+2",France,3.0,1.0,1.0,0.0,18,13,5.0,354,1.0,0.0,0.5035561877667141,0.8388625592417062,1.0,0.2777777777777778,1
2501053,3775,3783,"May 12, 2018 at 8:00:00 PM GMT+2",France,5.0,0.0,0.0,1.0,21,9,9.0,559,4.0,1.0,0.6623222748815166,0.9163934426229509,0.8333333333333334,0.42857142857142855,1
2501054,3767,3774,"May 12, 2018 at 9:00:00 PM GMT+2",France,0.0,0.0,1.0,0.0,14,10,6.0,460,0.0,2.0,0.6628242074927954,0.8712121212121212,0.0,0.42857142857142855,0
2501055,3779,3766,"May 12, 2018 at 8:00:00 PM GMT+2",France,1.0,0.0,5.0,1.0,9,8,4.0,175,3.0,2.0,0.341130604288499,0.7675438596491229,0.3333333333333333,0.4444444444444444,1
2501040,3771,3775,"May 6, 2018 at 9:05:00 PM GMT+2",France,1.0,0.0,1.0,2.0,17,11,8.0,379,2.0,1.0,0.4593939393939394,0.8834498834498834,0.5,0.47058823529411764,1
2501037,3783,19830,"May 6, 2018 at 5:00:00 PM GMT+2",France,3.0,1.0,1.0,0.0,13,15,5.0,259,1.0,2.0,0.4488734835355286,0.8068535825545171,0.6,0.38461538461538464,0
2501038,3804,3785,"May 6, 2018 at 5:00:00 PM GMT+2",France,0.0,0.0,1.0,1.0,18,3,9.0,304,3.0,1.0,0.500823723228995,0.7916666666666666,0.0,0.5,1
2501041,3777,3799,"May 6, 2018 at 5:00:00 PM GMT+2",France,2.0,0.0,1.0,1.0,8,16,4.0,267,1.0,2.0,0.357429718875502,0.7922848664688428,0.5,0.5,0
