matchID,team1_ID,team2_ID,date,tournament,gk_saves_T1,red_card_T1,yellow_card_T1,assists_T1,shots_T1,shots_against_T1,shots_on_target_T1,passes_T1,goals_T1,goals_against_T1,ball_possession_T1,pass_acc_T1,gk_acc_T1,shot_acc_T1,winner
2517036,2444,2445,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,3.0,0.0,1.0,0.0,15,7,7.0,686,1.0,4.0,0.849009900990099,0.8967320261437909,0.42857142857142855,0.4666666666666667,0
2517037,2482,2447,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,3.0,0.0,0.0,1.0,11,10,8.0,439,3.0,1.0,0.4582463465553236,0.9032921810699589,0.75,0.7272727272727273,1
2517038,2457,2975,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,4.0,0.0,1.0,1.0,8,17,4.0,300,2.0,6.0,0.47244094488188976,0.847457627118644,0.4,0.5,0
2517039,2453,2481,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,2.0,0.0,1.0,1.0,11,4,3.0,307,2.0,0.0,0.48043818466353677,0.882183908045977,1.0,0.2727272727272727,1
2517040,2449,2462,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,2.0,0.0,0.0,1.0,11,5,5.0,295,1.0,0.0,0.4416167664670659,0.7951482479784366,1.0,0.45454545454545453,1
2517041,2446,2455,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,2.0,0.0,2.0,2.0,26,11,7.0,421,3.0,2.0,0.5628342245989305,0.8522267206477733,0.5,0.2692307692307692,1
2517042,2450,2454,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,1.0,1.0,3.0,1.0,17,8,8.0,335,2.0,1.0,0.462707182320442,0.8271604938271605,0.5,0.47058823529411764,1
2517043,2460,2443,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,1.0,0.0,0.0,0.0,14,13,1.0,292,1.0,2.0,0.4451219512195122,0.7786666666666666,0.3333333333333333,0.07142857142857142,0
2517044,2451,2463,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,1.0,0.0,2.0,2.0,18,7,8.0,271,4.0,1.0,0.3876967095851216,0.8237082066869301,0.5,0.4444444444444444,1
2517027,2447,2460,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,3.0,0.0,3.0,1.0,10,5,3.0,508,1.0,2.0,0.7026279391424619,0.8552188552188552,0.6,0.3,0
2517028,2975,2451,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,4.0,0.0,0.0,4.0,13,9,7.0,265,4.0,1.0,0.4632867132867133,0.7681159420289855,0.8,0.5384615384615384,1
2517029,2463,2444,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,6.0,0.0,1.0,0.0,9,16,3.0,267,1.0,3.0,0.31448763250883394,0.839622641509434,0.6666666666666666,0.3333333333333333,0
2517031,2454,2453,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,5.0,0.0,0.0,2.0,17,20,5.0,374,3.0,1.0,0.5116279069767442,0.8480725623582767,0.8333333333333334,0.29411764705882354,1
2517032,2462,2450,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,4.0,0.0,2.0,1.0,14,11,10.0,200,3.0,0.0,0.33222591362126247,0.7220216606498195,1.0,0.7142857142857143,1
2517033,2481,2449,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,5.0,0.0,2.0,1.0,12,12,5.0,441,1.0,2.0,0.6805555555555556,0.8368121442125237,0.7142857142857143,0.4166666666666667,0
2517034,2455,2457,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,1.0,0.0,2.0,3.0,11,15,5.0,218,3.0,1.0,0.3978102189781022,0.7440273037542662,0.5,0.45454545454545453,1
2517035,2445,2482,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,7.0,1.0,6.0,1.0,5,21,2.0,224,2.0,0.0,0.33432835820895523,0.7804878048780488,1.0,0.4,1
2517025,2460,2975,"April 29, 2018 at 3:30:00 PM GMT+2",Germany,1.0,0.0,2.0,1.0,16,6,8.0,187,3.0,0.0,0.35551330798479086,0.7083333333333334,1.0,0.5,1
2517024,2446,2445,"April 28, 2018 at 6:30:00 PM GMT+2",Germany,0.0,0.0,2.0,0.0,21,4,6.0,477,0.0,1.0,0.7004405286343612,0.8625678119349005,0.0,0.2857142857142857,0
2517018,2444,2462,"April 28, 2018 at 3:30:00 PM GMT+2",Germany,3.0,0.0,0.0,4.0,11,10,6.0,507,4.0,1.0,0.6167883211678832,0.8848167539267016,0.75,0.5454545454545454,1
2517021,2453,2463,"April 28, 2018 at 3:30:00 PM GMT+2",Germany,0.0,0.0,2.0,2.0,14,12,7.0,287,3.0,2.0,0.38420348058902276,0.8223495702005731,0.0,0.5,1
