matchID,team1_ID,team2_ID,date,tournament,gk_saves_T2,red_card_T2,yellow_card_T2,assists_T2,shots_T2,shots_against_T2,shots_on_target_T2,passes_T2,goals_T2,goals_against_T2,ball_possession_T2,pass_acc_T2,gk_acc_T2,shot_acc_T2
2576335,3162,3161,"May 20, 2018 at 8:45:00 PM GMT+2",Italy,3.0,0.0,4.0,1.0,15.0,15,7.0,417,3.0,2.0,0.6261261261261262,0.8475609756097561,0.6,0.4666666666666667
2576336,3315,3158,"May 20, 2018 at 8:45:00 PM GMT+2",Italy,3.0,0.0,1.0,0.0,15.0,14,6.0,423,1.0,0.0,0.6175182481751825,0.846,1.0,0.4
2576329,3173,3172,"May 20, 2018 at 6:00:00 PM GMT+2",Italy,3.0,0.0,1.0,0.0,12.0,6,4.0,513,0.0,1.0,0.7478134110787172,0.8739352640545145,0.75,0.3333333333333333
2576330,3165,3219,"May 20, 2018 at 6:00:00 PM GMT+2",Italy,3.0,0.0,0.0,0.0,10.0,6,2.0,642,0.0,1.0,0.8178343949044586,0.8904299583911235,0.75,0.2
2576331,3163,3166,"May 20, 2018 at 6:00:00 PM GMT+2",Italy,4.0,0.0,2.0,0.0,8.0,19,4.0,446,0.0,1.0,0.6185852981969486,0.861003861003861,0.8,0.5
2576332,3187,3197,"May 20, 2018 at 6:00:00 PM GMT+2",Italy,9.0,0.0,0.0,0.0,9.0,20,4.0,258,1.0,2.0,0.25595238095238093,0.7610619469026548,0.8181818181818182,0.4444444444444444
2576333,3157,3176,"May 20, 2018 at 6:00:00 PM GMT+2",Italy,4.0,0.0,1.0,1.0,10.0,17,3.0,371,1.0,5.0,0.4244851258581236,0.8431818181818181,0.4444444444444444,0.3
2576337,3204,3164,"May 20, 2018 at 6:00:00 PM GMT+2",Italy,3.0,1.0,4.0,1.0,9.0,15,3.0,386,1.0,3.0,0.550641940085592,0.8654708520179372,0.5,0.3333333333333333
2576338,3193,3185,"May 20, 2018 at 3:00:00 PM GMT+2",Italy,1.0,1.0,3.0,2.0,4.0,13,2.0,287,2.0,1.0,0.3836898395721925,0.849112426035503,0.5,0.5
2576334,3159,3194,"May 19, 2018 at 3:00:00 PM GMT+2",Italy,11.0,0.0,2.0,1.0,8.0,26,3.0,238,1.0,2.0,0.3152317880794702,0.8350877192982457,0.8461538461538461,0.375
2576325,3164,3187,"May 13, 2018 at 8:45:00 PM GMT+2",Italy,2.0,0.0,2.0,1.0,16.0,9,8.0,633,2.0,0.0,0.6586888657648283,0.8779472954230236,1.0,0.5
2576319,3176,3173,"May 13, 2018 at 3:00:00 PM GMT+2",Italy,0.0,0.0,4.0,1.0,13.0,14,2.0,147,1.0,0.0,0.28994082840236685,0.6774193548387096,0.0,0.15384615384615385
2576320,3166,3165,"May 13, 2018 at 3:00:00 PM GMT+2",Italy,2.0,0.0,4.0,2.0,12.0,7,6.0,253,2.0,1.0,0.41956882255389716,0.8214285714285714,0.6666666666666666,0.5
2576327,3185,3204,"May 13, 2018 at 3:00:00 PM GMT+2",Italy,10.0,0.0,5.0,1.0,10.0,18,4.0,195,1.0,2.0,0.3277310924369748,0.7647058823529411,0.8333333333333334,0.4
2576328,3194,3163,"May 13, 2018 at 3:00:00 PM GMT+2",Italy,1.0,0.0,2.0,1.0,13.0,11,5.0,225,1.0,0.0,0.39473684210526316,0.7867132867132867,1.0,0.38461538461538464
2576326,3161,3315,"May 12, 2018 at 8:45:00 PM GMT+2",Italy,9.0,0.0,2.0,0.0,12.0,18,5.0,181,2.0,1.0,0.2256857855361596,0.7702127659574468,0.9,0.4166666666666667
2576321,3219,3193,"May 12, 2018 at 6:00:00 PM GMT+2",Italy,2.0,0.0,1.0,0.0,14.0,12,5.0,308,0.0,1.0,0.414535666218035,0.8346883468834688,0.6666666666666666,0.35714285714285715
2576316,3173,3158,"May 6, 2018 at 8:45:00 PM GMT+2",Italy,5.0,0.0,1.0,0.0,9.0,12,1.0,361,1.0,0.0,0.6046901172529313,0.7934065934065934,1.0,0.1111111111111111
2576317,3315,3164,"May 6, 2018 at 6:00:00 PM GMT+2",Italy,6.0,0.0,1.0,0.0,2.0,16,0.0,436,0.0,1.0,0.6759689922480621,0.8616600790513834,0.8571428571428571,0.0
