matchID,team1_ID,team2_ID,date,tournament,gk_saves_T2,red_card_T2,yellow_card_T2,assists_T2,shots_T2,shots_against_T2,shots_on_target_T2,passes_T2,goals_T2,goals_against_T2,ball_possession_T2,pass_acc_T2,gk_acc_T2,shot_acc_T2
2565922,676,687,"May 20, 2018 at 8:45:00 PM GMT+2",Spain,3.0,0.0,2.0,0.0,13,11,2.0,308,0.0,1.0,0.365361803084223,0.8555555555555555,0.75,0.15384615384615385
2565919,678,691,"May 20, 2018 at 4:15:00 PM GMT+2",Spain,3.0,0.0,1.0,1.0,12,10,4.0,327,1.0,0.0,0.4342629482071713,0.8034398034398035,1.0,0.3333333333333333
2565924,674,677,"May 20, 2018 at 12:00:00 PM GMT+2",Spain,3.0,0.0,0.0,1.0,11,21,6.0,350,1.0,2.0,0.4132231404958678,0.8333333333333334,0.6,0.5454545454545454
2565920,680,696,"May 19, 2018 at 6:30:00 PM GMT+2",Spain,8.0,0.0,2.0,0.0,8,19,2.0,292,0.0,1.0,0.35096153846153844,0.8088642659279779,0.8888888888888888,0.25
2565921,683,698,"May 19, 2018 at 6:30:00 PM GMT+2",Spain,2.0,0.0,1.0,0.0,10,6,3.0,334,1.0,0.0,0.6472868217054264,0.7877358490566038,1.0,0.3
2565923,714,756,"May 19, 2018 at 6:30:00 PM GMT+2",Spain,6.0,0.0,2.0,1.0,12,13,6.0,201,2.0,1.0,0.33668341708542715,0.7556390977443609,0.8571428571428571,0.5
2565926,712,684,"May 19, 2018 at 4:15:00 PM GMT+2",Spain,0.0,0.0,0.0,1.0,17,8,8.0,577,2.0,3.0,0.7387964148527529,0.9261637239165329,0.0,0.47058823529411764
2565918,692,695,"May 19, 2018 at 1:00:00 PM GMT+2",Spain,5.0,0.0,2.0,2.0,7,19,3.0,274,2.0,4.0,0.3672922252010724,0.8154761904761905,0.5555555555555556,0.42857142857142855
2565917,695,676,"May 13, 2018 at 8:45:00 PM GMT+2",Spain,2.0,0.0,6.0,1.0,18,11,7.0,449,4.0,5.0,0.6701492537313433,0.8752436647173489,0.2857142857142857,0.3888888888888889
2565910,691,683,"May 13, 2018 at 4:15:00 PM GMT+2",Spain,4.0,0.0,2.0,0.0,9,19,4.0,196,1.0,4.0,0.29253731343283584,0.7747035573122529,0.5,0.4444444444444444
2565912,675,692,"May 12, 2018 at 8:45:00 PM GMT+2",Spain,5.0,0.0,1.0,0.0,5,15,1.0,408,0.0,6.0,0.41760491299897645,0.8625792811839323,0.45454545454545453,0.2
2565908,756,674,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,5.0,0.0,3.0,0.0,11,12,6.0,311,1.0,0.0,0.4307479224376731,0.820580474934037,1.0,0.5454545454545454
2565909,696,678,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,0.0,0.0,5.0,1.0,9,4,3.0,385,1.0,3.0,0.625,0.8088235294117647,0.0,0.3333333333333333
2565911,677,682,"May 12, 2018 at 6:30:00 PM GMT+2",Spain,5.0,0.0,0.0,2.0,11,15,7.0,464,4.0,2.0,0.4978540772532189,0.887189292543021,0.7142857142857143,0.6363636363636364
2565913,698,679,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,5.0,0.0,2.0,1.0,5,10,3.0,308,1.0,0.0,0.49597423510466987,0.8148148148148148,1.0,0.6
2565915,701,714,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,3.0,0.0,1.0,0.0,7,9,2.0,290,0.0,1.0,0.5034722222222222,0.7107843137254902,0.75,0.2857142857142857
2565916,687,712,"May 12, 2018 at 3:15:00 PM GMT+2",Spain,4.0,0.0,2.0,1.0,8,12,3.0,271,2.0,3.0,0.3608521970705726,0.7720797720797721,0.5714285714285714,0.375
2565882,680,675,"May 9, 2018 at 9:30:00 PM GMT+2",Spain,5.0,0.0,1.0,1.0,14,13,4.0,595,2.0,3.0,0.6685393258426966,0.9028831562974203,0.625,0.2857142857142857
2565884,676,682,"May 9, 2018 at 8:00:00 PM GMT+2",Spain,1.0,0.0,3.0,1.0,20,12,7.0,418,1.0,5.0,0.4247967479674797,0.872651356993737,0.16666666666666666,0.35
2565900,712,695,"May 7, 2018 at 9:00:00 PM GMT+2",Spain,2.0,0.0,1.0,2.0,10,14,3.0,386,3.0,0.0,0.5822021116138764,0.8693693693693694,1.0,0.3
2565898,714,698,"May 6, 2018 at 6:30:00 PM GMT+2",Spain,5.0,0.0,2.0,1.0,7,21,1.0,125,1.0,0.0,0.23719165085388993,0.6756756756756757,1.0,0.14285714285714285
2565899,679,691,"May 6, 2018 at 4:15:00 PM GMT+2",Spain,2.0,0.0,3.0,1.0,14,8,5.0,494,2.0,0.0,0.5613636363636364,0.8546712802768166,1.0,0.35714285714285715
2565906,683,696,"May 6, 2018 at 12:00:00 PM GMT+2",Spain,4.0,0.0,1.0,3.0,13,10,7.0,264,3.0,0.0,0.45438898450946646,0.8173374613003096,1.0,0.5384615384615384
2565901,682,674,"May 5, 2018 at 8:45:00 PM GMT+2",Spain,4.0,0.0,3.0,0.0,5,14,2.0,325,0.0,1.0,0.4166666666666667,0.8620689655172413,0.8,0.4
2565903,678,684,"May 5, 2018 at 4:15:00 PM GMT+2",Spain,5.0,0.0,2.0,0.0,4,14,3.0,478,0.0,2.0,0.5808019441069259,0.8690909090909091,0.7142857142857143,0.75
2565904,756,701,"May 5, 2018 at 1:00:00 PM GMT+2",Spain,3.0,0.0,5.0,3.0,14,14,6.0,184,4.0,1.0,0.37938144329896906,0.7244094488188977,0.75,0.42857142857142855
2565905,680,687,"May 4, 2018 at 9:00:00 PM GMT+2",Spain,6.0,0.0,2.0,0.0,10,16,1.0,439,0.0,1.0,0.620933521923621,0.8727634194831014,0.8571428571428571,0.1
2565893,684,683,"April 30, 2018 at 9:00:00 PM GMT+2",Spain,0.0,0.0,4.0,1.0,9,11,4.0,266,1.0,2.0,0.3537234042553192,0.8109756097560976,0.0,0.4444444444444444
2565889,677,676,"April 29, 2018 at 8:45:00 PM GMT+2",Spain,3.0,0.0,1.0,4.0,20,15,9.0,600,4.0,2.0,0.6410256410256411,0.8995502248875562,0.6,0.45
2565896,696,679,"April 29, 2018 at 4:15:00 PM GMT+2",Spain,3.0,1.0,6.0,0.0,13,6,6.0,390,1.0,0.0,0.6372549019607843,0.8315565031982942,1.0,0.46153846153846156
2565888,682,692,"April 28, 2018 at 8:45:00 PM GMT+2",Spain,4.0,0.0,0.0,0.0,14,13,5.0,537,1.0,4.0,0.6332547169811321,0.9010067114093959,0.5,0.35714285714285715
2565891,675,712,"April 28, 2018 at 6:30:00 PM GMT+2",Spain,3.0,1.0,1.0,1.0,12,11,6.0,324,1.0,2.0,0.3927272727272727,0.8548812664907651,0.6,0.5
2565894,687,678,"April 28, 2018 at 4:15:00 PM GMT+2",Spain,5.0,0.0,5.0,0.0,9,16,3.0,272,1.0,3.0,0.43729903536977494,0.7513812154696132,0.625,0.3333333333333333
2565895,695,680,"April 27, 2018 at 9:00:00 PM GMT+2",Spain,3.0,0.0,1.0,1.0,20,14,3.0,367,1.0,2.0,0.5569044006069803,0.8173719376391982,0.6,0.15
2565879,678,695,"April 23, 2018 at 9:00:00 PM GMT+2",Spain,4.0,0.0,3.0,0.0,11,17,7.0,284,3.0,1.0,0.4588045234248788,0.797752808988764,0.8,0.6363636363636364
