matchID,team1_ID,team2_ID,date,tournament,gk_saves_T1,red_card_T1,yellow_card_T1,assists_T1,shots_T1,shots_against_T1,shots_on_target_T1,passes_T1,goals_T1,goals_against_T1,ball_possession_T1,pass_acc_T1,gk_acc_T1,shot_acc_T1,winner
2565922,676,687,"May 20, 2018 at 8:45:00 PM GMT+2",Spain,2.0,0.0,3.0,0.0,11,13,4.0,535,1.0,0.0,0.6346381969157769,0.9037162162162162,1.0,0.36363636363636365,1
2565919,678,691,"May 20, 2018 at 4:15:00 PM GMT+2",Spain,3.0,0.0,0.0,0.0,10,12,3.0,426,0.0,1.0,0.5657370517928287,0.83203125,0.75,0.3,0
2565924,674,677,"May 20, 2018 at 12:00:00 PM GMT+2",Spain,6.0,0.0,0.0,1.0,21,11,5.0,497,2.0,1.0,0.5867768595041323,0.8971119133574007,0.8571428571428571,0.23809523809523808,1
2565920,680,696,"May 19, 2018 at 6:30:00 PM GMT+2",Spain,4.0,0.0,2.0,1.0,19,8,8.0,540,1.0,0.0,0.6490384615384616,0.8985024958402662,1.0,0.42105263157894735,1
2565921,683,698,"May 19, 2018 at 6:30:00 PM GMT+2",Spain,2.0,0.0,4.0,0.0,6,10,2.0,182,0.0,1.0,0.35271317829457366,0.7459016393442623,0.6666666666666666,0.3333333333333333,0
2565923,714,756,"May 19, 2018 at 6:30:00 PM GMT+2",Spain,4.0,0.0,1.0,0.0,13,12,7.0,396,1.0,2.0,0.6633165829145728,0.8608695652173913,0.6666666666666666,0.5384615384615384,0
2565926,712,684,"May 19, 2018 at 4:15:00 PM GMT+2",Spain,6.0,1.0,1.0,2.0,8,17,3.0,204,3.0,2.0,0.2612035851472471,0.7906976744186046,0.75,0.375,1
2565918,692,695,"May 19, 2018 at 1:00:00 PM GMT+2",Spain,1.0,0.0,1.0,3.0,19,7,8.0,472,4.0,2.0,0.6327077747989276,0.8566243194192378,0.3333333333333333,0.42105263157894735,1
2565917,695,676,"May 13, 2018 at 8:45:00 PM GMT+2",Spain,3.0,0.0,6.0,5.0,11,18,7.0,221,5.0,4.0,0.32985074626865674,0.7836879432624113,0.42857142857142855,0.6363636363636364,1
2565910,691,683,"May 13, 2018 at 4:15:00 PM GMT+2",Spain,3.0,0.0,0.0,2.0,19,9,7.0,474,4.0,1.0,0.7074626865671642,0.8761552680221811,0.75,0.3684210526315789,1
2565912,675,692,"May 12, 2018 at 8:45:00 PM GMT+2",Spain,1.0,0.0,0.0,2.0,15,5,10.0,569,6.0,0.0,0.5823950870010235,0.8904538341158059,1.0,0.6666666666666666,1
2565908,756,674,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,5.0,0.0,2.0,0.0,12,11,5.0,411,0.0,1.0,0.5692520775623269,0.8422131147540983,0.8333333333333334,0.4166666666666667,0
2565909,696,678,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,3.0,0.0,2.0,0.0,4,9,3.0,231,3.0,1.0,0.375,0.7649006622516556,0.75,0.75,1
2565911,677,682,"May 12, 2018 at 6:30:00 PM GMT+2",Spain,3.0,0.0,3.0,2.0,15,11,7.0,468,2.0,4.0,0.5021459227467812,0.8602941176470589,0.42857142857142855,0.4666666666666667,0
2565913,698,679,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,2.0,0.0,3.0,0.0,10,5,2.0,313,0.0,1.0,0.5040257648953301,0.7904040404040404,0.6666666666666666,0.2,0
2565915,701,714,"May 12, 2018 at 5:30:00 PM GMT+2",Spain,2.0,0.0,3.0,1.0,9,7,4.0,286,1.0,0.0,0.4965277777777778,0.7185929648241206,1.0,0.4444444444444444,1
2565916,687,712,"May 12, 2018 at 3:15:00 PM GMT+2",Spain,1.0,0.0,1.0,1.0,12,8,7.0,480,3.0,2.0,0.6391478029294274,0.8648648648648649,0.3333333333333333,0.5833333333333334,1
2565882,680,675,"May 9, 2018 at 9:30:00 PM GMT+2",Spain,2.0,0.0,3.0,2.0,13,14,6.0,295,3.0,2.0,0.33146067415730335,0.8333333333333334,0.5,0.46153846153846156,1
2565884,676,682,"May 9, 2018 at 8:00:00 PM GMT+2",Spain,6.0,0.0,0.0,3.0,12,20,6.0,566,5.0,1.0,0.5752032520325203,0.9027113237639554,0.8571428571428571,0.5,1
2565900,712,695,"May 7, 2018 at 9:00:00 PM GMT+2",Spain,0.0,1.0,5.0,0.0,14,10,2.0,277,0.0,3.0,0.4177978883861237,0.8419452887537994,0.0,0.14285714285714285,0
2565898,714,698,"May 6, 2018 at 6:30:00 PM GMT+2",Spain,0.0,0.0,0.0,0.0,21,7,4.0,402,0.0,1.0,0.7628083491461101,0.8626609442060086,0.0,0.19047619047619047,0
2565899,679,691,"May 6, 2018 at 4:15:00 PM GMT+2",Spain,4.0,0.0,1.0,0.0,8,14,2.0,386,0.0,2.0,0.43863636363636366,0.8654708520179372,0.6666666666666666,0.25,0
2565906,683,696,"May 6, 2018 at 12:00:00 PM GMT+2",Spain,4.0,0.0,2.0,0.0,10,13,4.0,317,0.0,3.0,0.5456110154905336,0.8430851063829787,0.5714285714285714,0.4,0
2565901,682,674,"May 5, 2018 at 8:45:00 PM GMT+2",Spain,2.0,0.0,5.0,1.0,14,5,5.0,455,1.0,0.0,0.5833333333333334,0.8852140077821011,1.0,0.35714285714285715,1
2565903,678,684,"May 5, 2018 at 4:15:00 PM GMT+2",Spain,3.0,0.0,0.0,2.0,14,4,6.0,345,2.0,0.0,0.41919805589307413,0.8518518518518519,1.0,0.42857142857142855,1
2565904,756,701,"May 5, 2018 at 1:00:00 PM GMT+2",Spain,2.0,0.0,2.0,1.0,14,14,4.0,301,1.0,4.0,0.6206185567010309,0.7838541666666666,0.3333333333333333,0.2857142857142857,0
2565905,680,687,"May 4, 2018 at 9:00:00 PM GMT+2",Spain,1.0,0.0,4.0,0.0,16,10,7.0,268,1.0,0.0,0.37906647807637905,0.8,1.0,0.4375,1
2565893,684,683,"April 30, 2018 at 9:00:00 PM GMT+2",Spain,4.0,0.0,1.0,0.0,11,9,2.0,486,2.0,1.0,0.6462765957446809,0.8647686832740213,0.8,0.18181818181818182,1
2565889,677,676,"April 29, 2018 at 8:45:00 PM GMT+2",Spain,5.0,0.0,1.0,2.0,15,20,5.0,336,2.0,4.0,0.358974358974359,0.835820895522388,0.5555555555555556,0.3333333333333333,0
2565896,696,679,"April 29, 2018 at 4:15:00 PM GMT+2",Spain,6.0,0.0,4.0,0.0,6,13,3.0,222,0.0,1.0,0.3627450980392157,0.7449664429530202,0.8571428571428571,0.5,0
2565888,682,692,"April 28, 2018 at 8:45:00 PM GMT+2",Spain,4.0,0.0,2.0,4.0,13,14,7.0,311,4.0,1.0,0.36674528301886794,0.852054794520548,0.8,0.5384615384615384,1
2565891,675,712,"April 28, 2018 at 6:30:00 PM GMT+2",Spain,5.0,0.0,0.0,0.0,11,12,4.0,501,2.0,1.0,0.6072727272727273,0.8820422535211268,0.8333333333333334,0.36363636363636365,1
2565894,687,678,"April 28, 2018 at 4:15:00 PM GMT+2",Spain,2.0,1.0,3.0,1.0,16,9,5.0,350,3.0,1.0,0.5627009646302251,0.8433734939759037,0.6666666666666666,0.3125,1
2565895,695,680,"April 27, 2018 at 9:00:00 PM GMT+2",Spain,3.0,0.0,1.0,2.0,14,20,5.0,292,2.0,1.0,0.44309559939301973,0.8439306358381503,0.75,0.35714285714285715,1
2565879,678,695,"April 23, 2018 at 9:00:00 PM GMT+2",Spain,5.0,0.0,3.0,0.0,17,11,5.0,335,1.0,3.0,0.5411954765751211,0.7919621749408984,0.625,0.29411764705882354,0
