matchID,team1_ID,team2_ID,tournament,gk_saves_T1,gk_saves_T2,red_card_T1,red_card_T2,yellow_card_T1,yellow_card_T2,assists_T1,assists_T2,shots_T1,shots_T2,shots_on_target_T1,shots_on_target_T2,passes_T1,passes_T2,goals_T1,goals_T2,ball_possession_T1,ball_possession_T2,pass_acc_T1,pass_acc_T2,gk_acc_T1,gk_acc_T2,shot_acc_T1,shot_acc_T2,winner
2058017,4418,9598,World_Cup,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,8,14,6.0,3.0,186,429,4.0,2.0,0.3024390243902439,0.697560975609756,0.7717842323651453,0.8281853281853282,0.3333333333333333,0.42857142857142855,0.75,0.21428571428571427,1
2058016,5629,2413,World_Cup,6.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,11,14,4.0,5.0,427,593,2.0,0.0,0.41862745098039217,0.5813725490196079,0.8804123711340206,0.9067278287461774,1.0,0.5,0.36363636363636365,0.35714285714285715,1
2058015,9598,2413,World_Cup,1.0,5.0,0.0,0.0,2.0,1.0,2.0,0.0,22,11,7.0,2.0,470,370,2.0,1.0,0.5595238095238095,0.44047619047619047,0.7899159663865546,0.8258928571428571,0.5,0.7142857142857143,0.3181818181818182,0.18181818181818182,1
2058014,4418,5629,World_Cup,2.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,18,9,5.0,2.0,282,535,1.0,0.0,0.34516523867809057,0.6548347613219094,0.889589905362776,0.9052453468697124,1.0,0.8,0.2777777777777778,0.2222222222222222,1
2058012,14358,9598,World_Cup,1.0,5.0,0.0,0.0,1.0,4.0,1.0,2.0,11,17,6.0,3.0,274,594,2.0,2.0,0.315668202764977,0.684331797235023,0.7548209366391184,0.8307692307692308,0.3333333333333333,0.7142857142857143,0.5454545454545454,0.17647058823529413,0
2058013,7047,2413,World_Cup,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,7,11,3.0,2.0,280,402,0.0,2.0,0.41055718475073316,0.5894428152492669,0.8115942028985508,0.8288659793814434,0.0,1.0,0.42857142857142855,0.18181818181818182,0
2058011,6380,5629,World_Cup,2.0,8.0,0.0,0.0,2.0,2.0,1.0,1.0,25,8,9.0,3.0,437,304,1.0,2.0,0.5897435897435898,0.41025641025641024,0.8775100401606426,0.8735632183908046,0.5,0.8888888888888888,0.36,0.375,0
2058010,15670,4418,World_Cup,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,9,9,3.0,2.0,227,417,0.0,2.0,0.35248447204968947,0.6475155279503105,0.7467105263157895,0.8176470588235294,0.0,1.0,0.3333333333333333,0.2222222222222222,0
2058009,12430,2413,World_Cup,1.0,3.0,0.0,0.0,6.0,2.0,1.0,0.0,13,15,4.0,2.0,406,457,1.0,1.0,0.4704519119351101,0.52954808806489,0.8169014084507042,0.8638941398865785,0.5,0.75,0.3076923076923077,0.13333333333333333,0
2058008,7047,6697,World_Cup,4.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,12,17,3.0,4.0,192,476,1.0,0.0,0.2874251497005988,0.7125748502994012,0.7773279352226721,0.8530465949820788,1.0,0.6666666666666666,0.25,0.23529411764705882,1
2058007,5629,12913,World_Cup,4.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,24,9,7.0,4.0,501,377,3.0,2.0,0.570615034168565,0.4293849658314351,0.8758741258741258,0.8726851851851852,0.6666666666666666,0.5714285714285714,0.2916666666666667,0.4444444444444444,1
2058006,6380,15473,World_Cup,1.0,8.0,0.0,0.0,2.0,4.0,1.0,0.0,18,12,10.0,1.0,302,348,2.0,0.0,0.4646153846153846,0.5353846153846153,0.8507042253521127,0.87,1.0,0.8,0.5555555555555556,0.08333333333333333,1
2058005,9598,7712,World_Cup,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,21,15,6.0,3.0,499,424,1.0,1.0,0.5406283856988082,0.4593716143011918,0.8358458961474037,0.8379446640316206,0.6666666666666666,0.875,0.2857142857142857,0.2,1
2058004,1598,14358,World_Cup,0.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,22,6,9.0,1.0,994,197,1.0,1.0,0.834592779177162,0.16540722082283796,0.922077922077922,0.7547892720306514,0.0,0.9,0.4090909090909091,0.16666666666666666,0
2058002,15670,9905,World_Cup,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,7,19,3.0,4.0,185,455,2.0,1.0,0.2890625,0.7109375,0.7773109243697479,0.845724907063197,0.75,0.3333333333333333,0.42857142857142855,0.21052631578947367,1
2058003,4418,12274,World_Cup,1.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,8,10,4.0,4.0,290,420,4.0,3.0,0.4084507042253521,0.5915492957746479,0.8656716417910447,0.8641975308641975,0.25,0.0,0.5,0.4,1
2057994,2413,5629,World_Cup,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,10,13,1.0,3.0,393,469,0.0,1.0,0.45591647331786544,0.5440835266821346,0.8694690265486725,0.8984674329501916,0.6666666666666666,1.0,0.1,0.23076923076923078,0
2057995,17929,16276,World_Cup,5.0,4.0,0.0,0.0,3.0,3.0,0.0,2.0,8,15,4.0,7.0,200,514,1.0,2.0,0.2801120448179272,0.7198879551820728,0.7874015748031497,0.8862068965517241,0.7142857142857143,0.8,0.5,0.4666666666666667,0
2058000,12913,13869,World_Cup,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,8,10,3.0,2.0,474,375,0.0,1.0,0.558303886925795,0.4416961130742049,0.8960302457466919,0.8542141230068337,0.6666666666666666,1.0,0.375,0.2,0
2058001,19314,12430,World_Cup,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,7,4,3.0,2.0,219,350,0.0,1.0,0.38488576449912126,0.6151142355008787,0.8171641791044776,0.8454106280193237,0.5,1.0,0.42857142857142855,0.5,0
2057982,17322,6380,World_Cup,4.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,10,14,2.0,6.0,356,537,0.0,2.0,0.3986562150055991,0.6013437849944009,0.839622641509434,0.8760195758564437,0.6666666666666666,1.0,0.2,0.42857142857142855,0
2057983,6697,16871,World_Cup,5.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,11,14,3.0,6.0,481,272,2.0,2.0,0.6387782204515272,0.3612217795484728,0.8874538745387454,0.8267477203647416,0.7142857142857143,0.3333333333333333,0.2727272727272727,0.42857142857142855,0
