matchID,team1_ID,team2_ID,date,tournament,gk_saves_T1,red_card_T1,yellow_card_T1,assists_T1,shots_T1,shots_against_T1,shots_on_target_T1,passes_T1,goals_T1,goals_against_T1,ball_possession_T1,pass_acc_T1,gk_acc_T1,shot_acc_T1,winner
2058017,4418,9598,2018-07-15 17:00:00-02:00,World_Cup,1.0,0.0,2.0,0.0,8,14,6.0,186,4.0,2.0,0.3024390243902439,0.7717842323651453,0.3333333333333333,0.75,1
2058016,5629,2413,2018-07-14 16:00:00-02:00,World_Cup,6.0,0.0,1.0,2.0,11,14,4.0,427,2.0,0.0,0.41862745098039217,0.8804123711340206,1.0,0.36363636363636365,1
2058015,9598,2413,2018-07-11 20:00:00-02:00,World_Cup,1.0,0.0,2.0,2.0,22,11,7.0,470,2.0,1.0,0.5595238095238095,0.7899159663865546,0.5,0.3181818181818182,1
2058014,4418,5629,2018-07-10 20:00:00-02:00,World_Cup,2.0,0.0,2.0,1.0,18,9,5.0,282,1.0,0.0,0.34516523867809057,0.889589905362776,1.0,0.2777777777777778,1
2058012,14358,9598,2018-07-07 20:00:00-02:00,World_Cup,1.0,0.0,1.0,1.0,11,17,6.0,274,2.0,2.0,0.315668202764977,0.7548209366391184,0.3333333333333333,0.5454545454545454,0
2058013,7047,2413,2018-07-07 16:00:00-02:00,World_Cup,0.0,0.0,2.0,0.0,7,11,3.0,280,0.0,2.0,0.41055718475073316,0.8115942028985508,0.0,0.42857142857142855,0
2058011,6380,5629,2018-07-06 20:00:00-02:00,World_Cup,2.0,0.0,2.0,1.0,25,8,9.0,437,1.0,2.0,0.5897435897435898,0.8775100401606426,0.5,0.36,0
2058010,15670,4418,2018-07-06 16:00:00-02:00,World_Cup,0.0,0.0,2.0,0.0,9,9,3.0,227,0.0,2.0,0.35248447204968947,0.7467105263157895,0.0,0.3333333333333333,0
2058009,12430,2413,2018-07-03 20:00:00-02:00,World_Cup,1.0,0.0,6.0,1.0,13,15,4.0,406,1.0,1.0,0.4704519119351101,0.8169014084507042,0.5,0.3076923076923077,0
2058008,7047,6697,2018-07-03 16:00:00-02:00,World_Cup,4.0,0.0,1.0,1.0,12,17,3.0,192,1.0,0.0,0.2874251497005988,0.7773279352226721,1.0,0.25,1
