matchID,team1_ID,team2_ID,date,tournament,winner,avg_gk_saves_T1,avg_red_card_T1,avg_yellow_card_T1,avg_assists_T1,avg_shots_T1,avg_shots_against_T1,avg_shots_on_target_T1,avg_passes_T1,avg_goals_T1,avg_goals_against_T1,avg_ball_possession_T1,avg_pass_acc_T1,avg_gk_acc_T1,avg_shot_acc_T1,avg_gk_saves_T2,avg_red_card_T2,avg_yellow_card_T2,avg_assists_T2,avg_shots_T2,avg_shots_against_T2,avg_shots_on_target_T2,avg_passes_T2,avg_goals_T2,avg_goals_against_T2,avg_ball_possession_T2,avg_pass_acc_T2,avg_gk_acc_T2,avg_shot_acc_T2
2499719,1609,1631,"August 11, 2017 at 8:45:00 PM GMT+2",England,1,3.6666666666666665,0.3333333333333333,2.0,1.6666666666666667,18.0,9.333333333333334,8.666666666666666,558.0,3.3333333333333335,1.0,0.7190124345746088,0.8749531348961291,0.8333333333333334,0.49444444444444446,2.5,0.5,1.0,0.5,10.0,11.5,3.0,325.0,0.5,3.5,0.5590029491374783,0.8045968552996297,0.38888888888888884,0.26190476190476186
2499890,1609,1613,"December 16, 2017 at 4:00:00 PM GMT+1",England,1,3.0,0.25,1.5,2.25,20.25,8.75,9.0,546.75,3.5,1.5,0.7281400328529006,0.8678485145384335,0.6875,0.4634259259259259,0.6666666666666666,0.0,2.6666666666666665,0.6666666666666666,9.333333333333334,6.666666666666667,3.6666666666666665,236.33333333333334,0.6666666666666666,1.0,0.37924553085016127,0.7284816432152676,0.2222222222222222,0.39225589225589225
2499860,1609,1611,"December 2, 2017 at 6:30:00 PM GMT+1",England,0,2.8,0.2,1.6,1.8,20.6,9.0,8.2,568.0,3.0,1.2,0.7383592816522488,0.8707652981172332,0.75,0.4161952861952861,3.0,0.0,2.0,2.25,10.75,11.0,5.0,422.75,2.75,0.75,0.516800124991504,0.855605743240311,0.8666666666666667,0.5075509049773755
2499970,1609,1623,"February 3, 2018 at 6:30:00 PM GMT+1",England,1,3.0,0.2,2.0,2.0,22.4,9.6,9.0,572.2,2.6,1.8,0.7451592744905924,0.8706023838600341,0.65,0.41296947974367326,3.75,0.0,1.0,0.25,6.75,14.5,2.5,339.25,1.0,1.0,0.47713491134655905,0.801189480550405,0.8571428571428572,0.38095238095238093
2499949,1609,1628,"January 20, 2018 at 4:00:00 PM GMT+1",England,1,2.6,0.2,1.8,2.2,21.4,9.8,8.8,558.0,2.8,1.8,0.72309160531766,0.8697554843331143,0.6,0.4263028130770066,4.5,0.0,1.75,1.25,10.0,13.5,4.0,235.25,1.5,1.25,0.36933171416636723,0.7716351648658284,0.7474358974358974,0.3839285714285714
2499990,1609,1625,"March 1, 2018 at 8:45:00 PM GMT+1",England,0,2.2,0.0,1.4,2.6,22.2,9.0,9.6,576.0,3.0,1.6,0.721197303160651,0.8760366983169792,0.61,0.44713614641033994,2.6,0.2,2.2,1.2,16.8,8.6,6.8,608.0,2.4,1.2,0.7588241994338619,0.8868821457217371,0.779047619047619,0.40515683147262094
2500010,1609,1644,"March 11, 2018 at 2:30:00 PM GMT+1",England,1,2.4,0.0,1.6,1.8,18.8,9.4,8.4,559.0,2.2,1.6,0.6582492772729412,0.8729433598569196,0.64,0.45306207233626594,3.6,0.2,0.4,0.2,8.8,11.2,3.0,276.6,0.2,1.8,0.4678471775168915,0.7776074440105921,0.6476190476190475,0.3696969696969697
2500080,1609,1646,"May 6, 2018 at 5:30:00 PM GMT+2",England,1,2.8,0.0,1.6,2.4,16.4,9.4,8.8,509.6,2.6,1.6,0.6273250988260897,0.8656235400370997,0.64,0.5476075268817204,3.0,0.0,2.2,0.8,10.0,13.0,3.0,302.4,1.0,0.8,0.5057719415296548,0.8100565749455871,0.7766666666666666,0.3283516483516483
2499830,1609,1624,"November 18, 2017 at 1:30:00 PM GMT+1",England,1,2.6,0.0,1.0,3.2,13.0,8.8,7.2,515.2,3.4,1.0,0.6011348082559753,0.8712148752025959,0.74,0.5508333333333333,1.8,0.0,1.4,1.4,14.2,7.6,5.8,499.8,2.0,0.4,0.7262649989818035,0.850029296022494,0.8333333333333333,0.4161324786324786
2499850,1609,1673,"November 29, 2017 at 8:45:00 PM GMT+1",England,1,3.2,0.0,1.4,2.8,12.8,9.0,6.8,480.4,2.8,0.8,0.5599542731192508,0.8501606072985401,0.8400000000000001,0.5289285714285714,2.8,0.0,1.8,0.0,7.2,12.6,2.0,285.0,0.0,2.4,0.45577843702862586,0.7567679533768213,0.5295238095238095,0.3686274509803921
2499780,1609,1651,"October 1, 2017 at 1:00:00 PM GMT+2",England,1,2.8,0.0,1.4,3.0,13.4,8.8,6.0,484.4,3.0,0.6,0.5710601172042592,0.8471516698606057,0.8800000000000001,0.4651127819548872,3.8,0.0,0.8,0.4,6.6,14.6,1.8,274.6,0.4,2.0,0.3767778852544991,0.8056935020229992,0.7082251082251082,0.3525274725274725
2499810,1609,10531,"October 28, 2017 at 4:00:00 PM GMT+2",England,1,2.6,0.0,1.2,3.2,16.2,8.8,7.2,519.6,3.4,0.0,0.6198650288015793,0.8599010405905589,1.0,0.46844611528822055,5.0,0.0,1.0,0.0,8.0,15.2,1.6,328.2,0.2,2.0,0.482138282738768,0.8139391490591882,0.6622222222222223,0.2863636363636363
2499769,1609,1627,"September 25, 2017 at 9:00:00 PM GMT+2",England,1,2.0,0.0,0.8,2.8,17.8,7.8,7.0,577.8,3.2,0.2,0.6474583632570583,0.8701423533318717,0.9,0.3951127819548872,3.4,0.0,2.0,0.2,8.2,13.2,2.8,266.6,0.2,1.4,0.397467478315337,0.7691693095062264,0.7033333333333334,0.32158730158730153
2499749,1609,1659,"September 9, 2017 at 4:00:00 PM GMT+2",England,1,2.0,0.0,1.0,1.8,18.2,8.0,6.8,564.4,2.6,0.2,0.6595482647617523,0.8709266670573619,0.9,0.37011278195488717,3.8,0.0,1.4,1.0,9.6,14.8,3.8,271.6,1.2,1.0,0.43716309545058907,0.7893811879011989,0.7914285714285715,0.39642857142857146
2499862,1610,1613,"December 2, 2017 at 1:30:00 PM GMT+1",England,1,2.25,0.5,2.0,1.25,17.75,8.25,6.25,445.75,1.5,1.5,0.560280232531706,0.8606519193580782,0.7428571428571429,0.3493573153899241,1.5,0.0,2.25,0.5,9.5,10.5,3.25,223.5,0.5,1.0,0.33962507892521043,0.7298929784431968,0.3666666666666667,0.34419191919191916
2499910,1610,1651,"December 26, 2017 at 4:00:00 PM GMT+1",England,1,2.0,0.4,1.6,1.2,18.2,8.2,6.6,483.4,1.8,1.4,0.5845682720468701,0.8624584353492883,0.6942857142857143,0.35948585231193925,5.666666666666667,0.0,1.0,0.6666666666666666,7.0,18.0,3.0,286.3333333333333,0.6666666666666666,2.3333333333333335,0.41664699323643584,0.79051363890426,0.6616161616161617,0.43492063492063493
2499920,1610,1639,"December 30, 2017 at 4:00:00 PM GMT+1",England,1,1.4,0.4,1.6,1.4,20.4,7.2,7.6,527.6,2.0,0.8,0.6306242689111812,0.87844328979977,0.78,0.3743429951690821,4.0,0.0,1.0,0.0,9.666666666666666,12.666666666666666,3.0,201.66666666666666,0.0,1.6666666666666667,0.3443692352462477,0.733496457912553,0.6590909090909091,0.3095238095238095
2499979,1610,1627,"February 12, 2018 at 9:00:00 PM GMT+1",England,1,1.2,0.0,0.8,1.2,21.0,5.4,8.6,551.8,2.6,0.2,0.6213959754564333,0.8830080495140313,0.9,0.41513246885329264,2.2,0.2,1.8,0.6,10.4,14.0,3.2,248.8,0.8,0.8,0.3773480355263243,0.7670616765851682,0.8133333333333332,0.27879870129870127
2499962,1610,1659,"January 31, 2018 at 8:45:00 PM GMT+1",England,0,1.2,0.0,0.4,1.0,21.0,5.4,8.8,548.0,2.8,0.2,0.6229515886272914,0.8811837925464283,0.9,0.4262435799644037,2.4,0.0,1.6,0.4,9.0,13.2,3.8,351.6,0.4,2.4,0.4920338802528092,0.8189513763150413,0.48,0.3302197802197802
2500011,1610,1628,"March 10, 2018 at 6:30:00 PM GMT+1",England,1,1.2,0.0,0.4,1.0,19.8,6.6,8.0,553.6,2.6,0.8,0.6452243188102085,0.8764570183739402,0.78,0.4037371861025112,5.2,0.0,1.4,1.2,9.8,14.0,4.2,255.4,1.4,1.8,0.3607080897796957,0.7824186970032277,0.7312820512820514,0.41825396825396827
2500082,1610,1612,"May 6, 2018 at 5:30:00 PM GMT+2",England,1,1.2,0.0,0.6,0.8,20.8,6.4,8.2,529.4,2.4,0.8,0.6377747051505122,0.8803364096722929,0.78,0.3957371861025112,1.6,0.0,1.0,0.6,16.4,5.8,4.6,584.0,1.6,1.0,0.7201811290334179,0.8621266507132409,0.6,0.28634920634920635
2499855,1610,10531,"November 29, 2017 at 8:45:00 PM GMT+1",England,1,2.4,0.0,1.2,0.6,17.8,7.2,7.2,462.4,2.2,0.8,0.5563649337082887,0.8569350430116204,0.78,0.4037371861025112,3.8,0.0,1.4,0.2,9.2,12.4,2.2,344.2,0.6,2.0,0.5028675018823447,0.8237859314902402,0.6322222222222222,0.3085858585858586
2499819,1610,1611,"November 5, 2017 at 5:30:00 PM GMT+1",England,1,2.4,0.0,1.2,0.4,18.6,7.6,7.0,446.2,1.4,0.8,0.5591933702245531,0.8452901799381859,0.78,0.37490423415743107,3.4,0.0,1.8,0.6,12.8,13.6,4.6,429.0,1.6,1.4,0.5687058345391416,0.8460624767865722,0.7228571428571429,0.3675
2499799,1610,1644,"October 21, 2017 at 1:30:00 PM GMT+2",England,1,2.6,0.0,1.4,0.4,18.4,8.2,6.8,425.2,1.0,0.8,0.5513738213523727,0.8428145553190511,0.78,0.36836828644501274,2.8,0.0,1.0,0.8,9.0,10.0,3.0,317.8,1.0,2.4,0.4719612990353731,0.7968865696493604,0.49428571428571433,0.33146853146853145
2499781,1610,1625,"September 30, 2017 at 6:30:00 PM GMT+2",England,0,2.8,0.0,1.6,1.0,17.6,9.0,7.4,399.2,1.8,0.6,0.5252866231974833,0.8396971645719027,0.82,0.42900177060790873,1.2,0.0,1.8,1.8,16.4,5.6,5.6,651.0,2.8,0.6,0.7958402763102176,0.8993323673597491,0.5,0.33254477004477
2499744,1611,1631,"August 26, 2017 at 6:30:00 PM GMT+2",England,1,2.3333333333333335,0.0,1.0,1.6666666666666667,16.0,8.666666666666666,3.6666666666666665,537.0,2.0,0.6666666666666666,0.63990826920191,0.8864000810449358,0.8333333333333334,0.23492063492063486,3.6666666666666665,0.3333333333333333,1.0,1.3333333333333333,9.0,16.666666666666668,3.3333333333333335,272.0,1.3333333333333333,3.6666666666666665,0.4541610235290601,0.7769776136780139,0.45925925925925926,0.36507936507936506
2499873,1611,1625,"December 10, 2017 at 5:30:00 PM GMT+1",England,0,2.75,0.0,1.0,1.75,17.0,9.0,4.25,549.5,2.0,0.5,0.6678313299424057,0.8888458623104195,0.875,0.2511904761904762,1.5,0.25,3.25,1.5,17.0,6.25,6.75,609.5,2.75,0.75,0.7406013292160158,0.891447691938545,0.5833333333333333,0.3907440169050076
2499884,1611,1659,"December 13, 2017 at 9:00:00 PM GMT+1",England,1,3.2,0.0,1.6,1.6,15.2,10.0,4.4,486.0,1.8,0.8,0.5984421040645745,0.8662606363366299,0.8428571428571429,0.32595238095238094,4.666666666666667,0.0,1.0,0.3333333333333333,9.666666666666666,16.666666666666668,3.3333333333333335,413.0,0.3333333333333333,2.0,0.5778734785162892,0.8481043590289433,0.7083333333333334,0.2976190476190476
2499996,1611,1610,"February 25, 2018 at 3:05:00 PM GMT+1",England,1,4.2,0.0,1.6,1.8,14.2,10.4,4.0,449.4,2.0,0.6,0.5640198612564187,0.8582656176566796,0.8928571428571429,0.3164285714285714,2.8,0.0,1.0,0.8,12.2,8.8,3.4,497.4,1.6,0.8,0.5633396016682707,0.8644853117116819,0.7047619047619047,0.29436274509803917
2499976,1611,1673,"February 3, 2018 at 4:00:00 PM GMT+1",England,1,4.6,0.0,2.0,2.0,12.8,11.6,4.4,409.0,2.0,0.6,0.5300311573824927,0.849892026674393,0.9095238095238095,0.38976190476190475,2.75,0.25,2.0,1.25,10.5,11.25,6.0,235.75,2.25,1.0,0.44155094616810664,0.7453095217460258,0.7291666666666666,0.5791666666666666
2499944,1611,1639,"January 15, 2018 at 9:00:00 PM GMT+1",England,1,4.4,0.0,2.0,1.4,12.0,10.6,4.6,463.4,1.6,0.6,0.5705662400244632,0.852110013941294,0.7095238095238094,0.41273109243697476,4.8,0.0,1.0,0.4,8.4,13.8,3.0,242.6,0.4,2.8,0.37006750470816924,0.7625618524580446,0.6326007326007327,0.5172527472527473
2500014,1611,1612,"March 10, 2018 at 1:30:00 PM GMT+1",England,1,4.4,0.0,2.2,1.4,11.8,10.8,5.2,452.6,1.8,0.6,0.5477580993141729,0.8535513388216149,0.7095238095238094,0.447467934542238,2.0,0.0,0.8,1.2,16.0,6.0,5.2,573.0,2.4,0.6,0.6479566122741314,0.8686881050010218,0.75,0.34777777777777774
2500034,1611,10531,"March 31, 2018 at 4:00:00 PM GMT+2",England,1,3.8,0.0,1.8,1.4,11.0,10.8,4.6,445.4,2.0,0.4,0.5410590650686254,0.853308103795771,0.7,0.42246793454223797,2.4,0.0,1.2,0.6,8.4,13.2,3.0,366.2,1.0,3.0,0.5002021999876639,0.8439535083077392,0.3931746031746032,0.3904040404040404
2500093,1611,1644,"May 13, 2018 at 4:00:00 PM GMT+2",England,1,2.6,0.0,1.6,1.4,11.8,8.8,5.2,482.6,2.2,0.4,0.5633737224144447,0.8618791770453671,0.7,0.4562341683084717,4.0,0.0,0.6,0.2,7.8,10.8,3.0,268.2,0.2,3.0,0.41969887636270486,0.7747349998351818,0.5619047619047619,0.3888888888888889
2499836,1611,1613,"November 18, 2017 at 6:30:00 PM GMT+1",England,1,2.2,0.0,2.0,1.2,11.6,7.2,4.6,485.0,2.0,0.2,0.575999869144956,0.8554263734846005,0.7333333333333334,0.38480559687990024,4.4,0.0,1.2,0.6,10.0,13.2,3.2,247.2,0.6,1.6,0.33782081908140416,0.7514708059750216,0.7166666666666667,0.3412698412698413
2499843,1611,1651,"November 25, 2017 at 4:00:00 PM GMT+1",England,1,3.0,0.0,1.8,1.8,11.4,9.2,4.8,455.8,2.4,0.4,0.5560092446332627,0.8488388096201035,0.8933333333333333,0.4017173615857826,4.8,0.0,0.4,0.2,6.8,19.4,1.6,265.4,0.2,2.6,0.35569344721763285,0.8021339010303944,0.6304473304473304,0.30586080586080583
2499816,1611,1624,"October 28, 2017 at 1:30:00 PM GMT+2",England,1,2.6,0.0,1.4,1.4,10.0,8.4,3.6,442.4,2.0,0.4,0.545582710046453,0.8345894149469799,0.8933333333333333,0.35698051948051945,1.8,0.0,1.4,1.0,14.4,10.0,5.2,484.2,1.4,1.2,0.6883924337307034,0.8448777079891967,0.6533333333333333,0.3756913021618904
2499764,1611,1623,"September 17, 2017 at 5:00:00 PM GMT+2",England,1,3.0,0.0,1.2,1.4,11.6,8.2,4.0,459.0,1.8,0.2,0.570527156175442,0.8284487034845295,0.96,0.32364718614718613,3.2,0.2,1.0,0.4,11.4,13.8,4.8,301.4,1.0,2.4,0.47974760085389756,0.8089304632246972,0.5123809523809524,0.4109615384615385
2499784,1611,1628,"September 30, 2017 at 4:00:00 PM GMT+2",England,1,3.2,0.0,1.4,1.8,12.4,8.8,4.2,407.6,2.2,0.2,0.5337179799502074,0.8194813598386632,0.96,0.31273809523809526,1.6,0.0,1.6,0.2,12.0,10.2,2.0,263.6,0.4,1.8,0.45892600928636734,0.7700268693201286,0.4222222222222222,0.12857142857142856
2499743,1612,1609,"August 27, 2017 at 5:00:00 PM GMT+2",England,1,1.0,0.0,1.0,0.5,22.0,5.5,10.5,564.5,2.0,0.0,0.7053247590422268,0.8663640138930837,1.0,0.4708333333333333,2.0,0.0,0.3333333333333333,0.6666666666666666,13.333333333333334,10.333333333333334,4.333333333333333,526.0,0.6666666666666666,1.6666666666666667,0.6642890735552864,0.8670195641725392,0.5277777777777778,0.34920634920634913
2499913,1612,10531,"December 26, 2017 at 6:30:00 PM GMT+1",England,1,0.6666666666666666,0.0,1.3333333333333333,1.0,21.0,6.333333333333333,10.333333333333334,510.0,2.6666666666666665,0.0,0.6306806917024209,0.8583883341920279,0.6666666666666666,0.489327485380117,3.25,0.0,1.25,1.0,6.5,14.0,2.75,305.25,1.0,2.5,0.4135374108000562,0.8204180915916458,0.5292207792207793,0.41666666666666663
2499923,1612,1631,"December 30, 2017 at 4:00:00 PM GMT+1",England,1,1.5,0.0,1.0,1.25,21.0,6.25,10.0,508.25,3.25,0.0,0.610743267955348,0.8647930081132651,0.75,0.47413847117794483,3.6,0.2,1.4,1.2,9.2,16.4,4.8,240.4,1.6,2.8,0.38468152877904666,0.7658631229681065,0.5017460317460317,0.4859523809523809
