matchID,team1_ID,team2_ID,date,tournament,winner,avg_gk_saves_T1,avg_red_card_T1,avg_yellow_card_T1,avg_assists_T1,avg_shots_T1,avg_shots_against_T1,avg_shots_on_target_T1,avg_passes_T1,avg_goals_T1,avg_goals_against_T1,avg_ball_possession_T1,avg_pass_acc_T1,avg_gk_acc_T1,avg_shot_acc_T1,avg_gk_saves_T2,avg_red_card_T2,avg_yellow_card_T2,avg_assists_T2,avg_shots_T2,avg_shots_against_T2,avg_shots_on_target_T2,avg_passes_T2,avg_goals_T2,avg_goals_against_T2,avg_ball_possession_T2,avg_pass_acc_T2,avg_gk_acc_T2,avg_shot_acc_T2
2500688,3766,3779,"August 5, 2017 at 8:00:00 PM GMT+2",France,1,4.333333333333333,0.0,0.6666666666666666,1.3333333333333333,23.333333333333332,9.333333333333334,8.0,519.6666666666666,2.3333333333333335,0.0,0.6645338124101369,0.8867584670693872,1.0,0.33714285714285713,4.0,0.0,2.0,0.5,16.5,10.5,3.0,305.5,0.5,2.5,0.5815200303572396,0.8243083609211159,0.6071428571428572,0.18014705882352938
2500858,3766,3771,"December 17, 2017 at 9:00:00 PM GMT+1",France,1,3.5,0.0,1.0,1.5,20.75,8.5,7.75,501.25,2.75,0.0,0.6572322681395115,0.8832684589126079,1.0,0.3874725274725275,3.3333333333333335,0.0,2.6666666666666665,1.3333333333333333,14.0,13.333333333333334,6.333333333333333,400.6666666666667,1.6666666666666667,2.6666666666666665,0.6315749210017605,0.8620634532779801,0.6547619047619048,0.46940836940836944
2500930,3766,3774,"February 11, 2018 at 9:00:00 PM GMT+1",France,0,4.0,0.0,0.8,1.4,18.2,10.4,7.2,456.2,2.6,0.0,0.6054394941652889,0.8661523393844217,1.0,0.434978021978022,3.5,0.0,3.0,1.0,10.0,11.0,2.5,252.5,1.5,2.5,0.4886502726160009,0.7886337657174096,0.5625,0.2582417582417582
2500898,3766,3767,"January 21, 2018 at 9:00:00 PM GMT+1",France,1,3.0,0.0,1.0,1.2,17.6,9.8,7.4,455.2,2.2,0.4,0.6180001124720175,0.8588051019618144,0.8666666666666666,0.454025641025641,1.6,0.2,2.2,1.2,20.8,8.8,6.8,581.8,2.0,0.6,0.7542411350938243,0.8881317288957705,0.7,0.3294621168305378
2500970,3766,3783,"March 11, 2018 at 5:00:00 PM GMT+1",France,1,3.0,0.0,1.2,0.8,15.0,10.6,7.0,400.6,2.0,0.6,0.5465448695052656,0.84118597651691,0.8166666666666667,0.49644988344988344,3.4,0.0,2.8,0.2,10.6,13.0,2.8,273.2,0.8,1.8,0.4371717113465746,0.7743999549851592,0.645,0.2728205128205128
2501058,3766,3775,"May 19, 2018 at 9:00:00 PM GMT+2",France,1,2.6,0.0,1.2,0.6,14.0,9.4,5.6,419.0,1.8,0.6,0.5610057901107645,0.8456328073183765,0.8166666666666667,0.44844988344988346,3.2,0.2,2.8,1.4,11.6,13.6,4.2,452.4,2.0,1.8,0.5773488741421682,0.8766392090241913,0.582857142857143,0.372156862745098
2501039,3766,3795,"May 6, 2018 at 4:30:00 PM GMT+2",France,1,3.0,0.0,1.4,0.6,15.6,10.4,5.8,410.2,1.6,1.0,0.5246851840384654,0.8481656314431385,0.7366666666666666,0.4169480519480519,2.8,0.4,2.6,0.4,7.2,14.4,1.2,291.4,0.4,1.8,0.44169930262820634,0.794002411912674,0.5083333333333333,0.11666666666666665
2500830,3766,3776,"November 29, 2017 at 7:00:00 PM GMT+1",France,0,2.6,0.0,1.8,1.0,17.0,9.2,5.8,448.8,1.8,1.0,0.5572324613225847,0.8700593938116272,0.7366666666666666,0.3586147186147186,3.0,0.0,2.2,0.6,11.6,12.6,4.0,451.6,0.8,3.0,0.6071743643274032,0.8677432720322544,0.475,0.3309090909090909
2500771,3766,19830,"October 13, 2017 at 8:45:00 PM GMT+2",France,1,2.6,0.0,1.4,1.2,17.4,9.2,5.4,442.6,2.0,1.0,0.5335449769620318,0.8694497758920521,0.7366666666666666,0.33194805194805194,4.0,0.0,0.8,1.0,13.0,16.2,5.4,376.6,2.4,0.6,0.5250619582121623,0.8289975583648472,0.8866666666666667,0.38984126984126977
2500791,3766,3777,"October 29, 2017 at 3:00:00 PM GMT+1",France,1,3.0,0.0,2.0,1.6,19.2,10.2,5.6,468.0,2.2,1.2,0.5930211674382224,0.8860810572875574,0.7295238095238096,0.29285714285714287,3.6,0.2,1.0,0.6,10.4,14.4,3.4,263.6,1.0,3.8,0.36981835915012506,0.7936389089409498,0.47004329004329,0.38555555555555554
2500728,3766,3785,"September 10, 2017 at 5:00:00 PM GMT+2",France,1,3.4,0.0,1.8,2.0,17.4,10.0,5.6,447.4,2.4,1.2,0.5553325589269239,0.8868235878493651,0.7295238095238096,0.3255844155844156,4.4,0.0,1.4,0.4,7.8,16.4,2.8,312.6,0.6,2.8,0.46402566611703555,0.7945425003438941,0.5845238095238094,0.33999999999999997
2500724,3767,3782,"August 25, 2017 at 8:45:00 PM GMT+2",France,1,0.5,0.5,1.5,4.0,17.5,9.5,10.5,500.5,6.5,1.5,0.6890438359251747,0.8799008646392368,0.25,0.5960144927536233,5.0,0.0,1.0,0.75,8.0,17.0,4.25,363.0,1.5,0.0,0.5048656435613692,0.838444117673375,1.0,0.5119047619047619
2500693,3767,3789,"August 5, 2017 at 5:15:00 PM GMT+2",France,1,1.0,0.3333333333333333,1.6666666666666667,3.3333333333333335,16.333333333333332,10.0,8.333333333333334,500.0,5.333333333333333,1.0,0.6720650295767149,0.8809958566621461,0.5,0.4925810904071774,3.0,0.0,1.3333333333333333,0.0,10.333333333333334,17.0,2.0,293.6666666666667,0.3333333333333333,2.0,0.3935984339879224,0.808670176824185,0.625,0.25555555555555554
2500874,3767,3783,"December 20, 2017 at 8:50:00 PM GMT+1",France,1,1.0,0.25,1.25,2.75,16.25,9.0,7.5,537.0,4.5,0.75,0.6826595770336938,0.8845037985739577,0.625,0.44756081780538304,1.75,0.0,1.5,0.75,10.75,10.0,3.0,297.75,0.75,1.75,0.48513893926309115,0.7806175368492245,0.5,0.26609848484848486
