matchID,team1_ID,team2_ID,date,tournament,winner,avg_gk_saves_T1,avg_red_card_T1,avg_yellow_card_T1,avg_assists_T1,avg_shots_T1,avg_shots_against_T1,avg_shots_on_target_T1,avg_passes_T1,avg_goals_T1,avg_goals_against_T1,avg_ball_possession_T1,avg_pass_acc_T1,avg_gk_acc_T1,avg_shot_acc_T1,avg_gk_saves_T2,avg_red_card_T2,avg_yellow_card_T2,avg_assists_T2,avg_shots_T2,avg_shots_against_T2,avg_shots_on_target_T2,avg_passes_T2,avg_goals_T2,avg_goals_against_T2,avg_ball_possession_T2,avg_pass_acc_T2,avg_gk_acc_T2,avg_shot_acc_T2
2565556,674,714,"August 18, 2017 at 10:15:00 PM GMT+2",Spain,1,4.0,0.5,2.0,0.5,11.0,13.5,4.0,422.5,1.0,1.0,0.5675651867512332,0.8565170940170941,0.6666666666666666,0.33928571428571425,5.5,0.5,4.0,0.5,9.5,13.5,2.5,305.0,0.5,1.5,0.5107243460764588,0.8361115726823668,0.7708333333333333,0.1388888888888889
2565710,674,682,"December 23, 2017 at 4:15:00 PM GMT+1",Spain,0,3.6666666666666665,0.3333333333333333,2.3333333333333335,0.6666666666666666,14.333333333333334,10.333333333333334,4.666666666666667,405.0,1.0,0.6666666666666666,0.5398078557399146,0.8558458840791404,0.7777777777777777,0.3214285714285714,3.5,0.0,2.75,0.25,6.75,12.75,2.0,332.75,0.25,1.25,0.4721258679144275,0.8382769223711082,0.7708333333333333,0.29166666666666663
2565694,674,692,"December 9, 2017 at 8:45:00 PM GMT+1",Spain,1,3.25,0.5,3.5,0.5,15.25,10.0,4.25,397.5,0.75,0.75,0.5401372770863213,0.8502177463926887,0.75,0.2827380952380952,3.5,0.0,1.75,0.75,8.25,13.25,3.0,377.5,1.25,2.0,0.5553545283641214,0.8378735331880778,0.6101190476190477,0.3767857142857143
2565771,674,695,"February 11, 2018 at 8:45:00 PM GMT+1",Spain,1,3.4,0.4,3.2,0.6,14.8,10.4,4.8,375.4,1.0,0.8,0.5049524612629657,0.8441741971141509,0.76,0.33388278388278386,3.0,0.0,2.0,0.0,11.0,15.0,5.0,311.5,1.5,2.0,0.4353560891729497,0.8053512246382669,0.6000000000000001,0.45454545454545453
2565795,674,687,"February 25, 2018 at 6:30:00 PM GMT+1",Spain,1,3.2,0.2,3.6,0.8,16.8,10.0,6.0,375.2,1.4,0.6,0.4985958313803242,0.8521811901211439,0.6933333333333332,0.3727716727716727,3.8,0.0,1.4,0.8,12.0,12.2,4.8,418.4,1.4,2.2,0.522522155393701,0.8708814586558014,0.49333333333333335,0.3734920634920635
2565749,674,675,"January 27, 2018 at 4:15:00 PM GMT+1",Spain,0,2.2,0.2,3.4,0.8,15.4,7.8,5.6,348.6,1.6,0.8,0.46842893671548147,0.8397491776891315,0.6266666666666667,0.40134310134310136,4.4,0.2,2.0,1.8,13.2,13.0,7.0,498.4,2.6,1.2,0.6004610195693827,0.8739608088625843,0.7647619047619048,0.5413286713286714
2565722,674,756,"January 6, 2018 at 4:15:00 PM GMT+1",Spain,1,2.2,0.2,3.2,0.8,13.6,9.8,5.2,346.4,1.6,1.6,0.45515586258203766,0.842278436539306,0.5123809523809524,0.41086691086691085,3.6,0.0,2.0,0.0,9.8,12.8,3.4,285.4,0.6,3.2,0.4616577669156756,0.7934748715905131,0.5880952380952381,0.3217893217893218
2565835,674,696,"March 17, 2018 at 4:15:00 PM GMT+1",Spain,1,2.8,0.0,2.8,0.8,13.0,10.4,6.0,353.2,2.0,1.6,0.4720072069563178,0.8474605093684378,0.5457142857142857,0.4708669108669109,6.2,0.0,2.8,0.6,7.4,17.8,3.2,209.8,1.2,2.2,0.31030291699422785,0.7510018977848024,0.6875901875901876,0.4747979797979798
2565811,674,684,"March 4, 2018 at 8:45:00 PM GMT+1",Spain,1,2.6,0.0,2.6,1.0,14.2,10.6,6.2,396.6,2.2,1.6,0.525797733191555,0.8618675890144554,0.5357142857142858,0.4473851294903926,1.4,0.0,3.0,1.4,10.0,10.8,4.4,434.8,2.6,1.4,0.6081759097933379,0.862806087890856,0.53,0.44071428571428567
2565924,674,677,"May 20, 2018 at 12:00:00 PM GMT+2",Spain,1,3.4,0.0,2.2,1.2,12.8,11.2,5.6,379.4,2.0,1.4,0.476159633166423,0.8556919641526992,0.7357142857142858,0.4494053315105946,4.0,0.0,2.8,0.2,6.0,15.6,1.8,290.2,0.2,3.6,0.46140141852458927,0.7909205993260717,0.5621489621489622,0.29166666666666663
2565656,674,712,"November 4, 2017 at 1:00:00 PM GMT+1",Spain,1,4.2,0.0,1.8,1.2,15.6,11.6,5.8,423.0,2.0,1.4,0.52786794624372,0.8714779831878156,0.7738095238095237,0.38273866484392793,4.8,0.0,3.2,0.4,8.4,13.0,3.2,264.4,0.8,2.6,0.3734309569220876,0.7877356534619726,0.6523809523809524,0.3829365079365079
2565608,674,678,"October 1, 2017 at 6:30:00 PM GMT+2",Spain,1,4.8,0.0,1.6,1.2,15.8,11.0,6.4,442.2,2.4,0.6,0.566758828470855,0.8697461447045416,0.8880952380952379,0.42376430586956904,3.4,0.0,2.6,0.4,9.6,10.8,2.6,357.0,0.4,2.4,0.527485120059871,0.8038619474140871,0.45777777777777773,0.2588095238095238
2565632,674,680,"October 21, 2017 at 6:30:00 PM GMT+2",Spain,1,4.6,0.0,1.2,1.6,14.8,11.4,6.2,407.2,2.6,0.8,0.5168027611042115,0.8626861376031096,0.8547619047619047,0.4504309725362356,2.2,0.2,2.8,0.8,11.0,13.2,4.8,393.0,1.6,1.4,0.5582148700541517,0.8364919614074392,0.4666666666666666,0.44512987012987004
2565595,674,683,"September 19, 2017 at 8:00:00 PM GMT+2",Spain,1,5.2,0.0,1.4,1.8,14.6,12.2,6.2,371.6,2.8,0.6,0.4972303506116832,0.8558580053255127,0.9047619047619048,0.45510933510933504,3.6,0.0,3.0,0.4,9.6,14.8,3.6,264.8,0.6,2.4,0.35308575121036395,0.8091799015156717,0.6033333333333333,0.3738888888888889
2565695,675,680,"December 9, 2017 at 4:15:00 PM GMT+1",Spain,1,7.0,0.5,1.0,0.0,11.0,15.0,4.5,435.0,1.0,2.0,0.5159493670886076,0.8671181244510946,0.7916666666666667,0.40909090909090906,3.0,0.0,2.25,0.5,12.75,13.0,4.0,384.25,0.75,2.25,0.5466827803536138,0.8279824230597719,0.625,0.3557539682539682
